book_chapter_verse,gloss,lemma,normalized,book,chapter
LUK 2:46,And it came to pass after days three they found Him in the temple sitting in [the] midst of the teachers both hearing them and questioning them,καί γίνομαι μετά ἡμέρα τρεῖς εὑρίσκω αὐτός ἐν ὁ ἱερός καθέζομαι ἐν μέσος ὁ διδάσκαλος καί ἀκούω αὐτός καί ἐπερωτάω αὐτός,καί ἐγένετο μετά ἡμέρας τρεῖς εὗρον αὐτόν ἐν τῷ ἱερῷ καθεζόμενον ἐν μέσῳ τῶν διδασκάλων καί ἀκούοντα αὐτῶν καί ἐπερωτῶντα αὐτούς,Luke,Luke 2
LUK 2:47,Were amazed then all those hearing Him at the understanding and the answers of Him,ἐξίστημι δέ πᾶς ὁ ἀκούω αὐτός ἐπί ὁ σύνεσις καί ὁ ἀπόκρισις αὐτός,ἐξίσταντο δέ πάντες οἱ ἀκούοντες αὐτοῦ ἐπί τῇ συνέσει καί ταῖς ἀποκρίσεσιν αὐτοῦ,Luke,Luke 2
LUK 2:48,And having seen Him they were astonished and said to Him the mother of Him Child why have You done to us thus Behold the father of You and I distressing were seeking You,καί ὁράω αὐτός ἐκπλήσσω καί λέγω πρός αὐτός ὁ μήτηρ αὐτός τέκνον τίς ποιέω ἐγώ οὕτω ὁράω ὁ πατήρ σύ κἀγώ ὀδυνάω ζητέω σύ,καί ἰδόντες αὐτόν ἐξεπλάγησαν καί εἶπεν πρός αὐτόν ἡ μήτηρ αὐτοῦ Τέκνον τί ἐποίησας ἡμῖν οὕτως ἰδού ὁ πατήρ σου κἀγώ ὀδυνώμενοι ζητοῦμεν σε,Luke,Luke 2
LUK 2:49,And He said to them Why [is it] that you were seeking Me Not knew you that in the [house] of the Father of Me it behooves to be Me,καί λέγω πρός αὐτός τίς ὅτι ζητέω ἐγώ οὐ οἶδα ὅτι ἐν ὁ ὁ πατήρ ἐγώ δεῖ εἰμί ἐγώ,καί εἶπεν πρός αὐτούς Τί ὅτι ἐζητεῖτε με οὐκ ᾔδειτε ὅτι ἐν τοῖς τοῦ Πατρός μου δεῖ εἶναι με,Luke,Luke 2
LUK 2:5,to register with Mary the [one] being betrothed to him she being with child,ἀπογράφω σύν Μαρία ὁ μνηστεύω αὐτός εἰμί ἔγκυος,ἀπογράψασθαι σύν Μαριάμ τῇ ἐμνηστευμένῃ αὐτῷ οὔσῃ ἐγκύῳ,Luke,Luke 2
LUK 2:50,And they not understood the word that He spoke to them,καί αὐτός οὐ συνίημι ὁ ῥῆμα ὅς λαλέω αὐτός,καί αὐτοί οὐ συνῆκαν τό ῥῆμα ὅ ἐλάλησεν αὐτοῖς,Luke,Luke 2
LUK 2:51,And He went down with them and came to Nazareth and He was subject to them And the mother of Him was treasuring up all the matters in the heart of her,καί καταβαίνω μετά αὐτός καί ἔρχομαι εἰς Ναζαρά καί εἰμί ὑποτάσσω αὐτός καί ὁ μήτηρ αὐτός διατηρέω πᾶς ὁ ῥῆμα ἐν ὁ καρδία αὐτός,καί κατέβη μετ’ αὐτῶν καί ἦλθεν εἰς Ναζαρέθ καί ἦν ὑποτασσόμενος αὐτοῖς καί ἡ μήτηρ αὐτοῦ διετήρει πάντα τά ῥήματα ἐν τῇ καρδίᾳ αὐτῆς,Luke,Luke 2
LUK 2:52,And Jesus continued to advance in - wisdom and stature and in favor with God and men,καί Ἰησοῦς προκόπτω ἐν ὁ σοφία καί ἡλικία καί χάρις παρά θεός καί ἄνθρωπος,Καί Ἰησοῦς προέκοπτεν ἐν τῇ σοφίᾳ καί ἡλικίᾳ καί χάριτι παρά Θεῷ καί ἀνθρώποις,Luke,Luke 2
LUK 2:6,It came to pass then in their being - there were fulfilled the days of the giving birth of her,γίνομαι δέ ἐν ὁ εἰμί αὐτός ἐκεῖ πίμπλημι ὁ ἡμέρα ὁ τίκτω αὐτός,Ἐγένετο δέ ἐν τῷ εἶναι αὐτούς ἐκεῖ ἐπλήσθησαν αἱ ἡμέραι τοῦ τεκεῖν αὐτήν,Luke,Luke 2
LUK 2:7,And she brought forth the son of her the firstborn and wrapped in swaddling cloths him and laid Him in a manger because not there was for them a place in the inn,καί τίκτω ὁ υἱός αὐτός ὁ πρωτότοκος καί σπαργανόω αὐτός καί ἀνακλίνω αὐτός ἐν φάτνη διότι οὐ εἰμί αὐτός τόπος ἐν ὁ κατάλυμα,καί ἔτεκεν τόν υἱόν αὐτῆς τόν πρωτότοκον καί ἐσπαργάνωσεν αὐτόν καί ἀνέκλινεν αὐτόν ἐν φάτνῃ διότι οὐκ ἦν αὐτοῖς τόπος ἐν τῷ καταλύματι,Luke,Luke 2
LUK 2:8,And shepherds were in the region - same lodging in the fields and keeping watch - by night over the flock of them,καί ποιμήν εἰμί ἐν ὁ χώρα ὁ αὐτός ἀγραυλέω καί φυλάσσω φυλακή ὁ νύξ ἐπί ὁ ποίμνη αὐτός,Καί ποιμένες ἦσαν ἐν τῇ χώρᾳ τῇ αὐτῇ ἀγραυλοῦντες καί φυλάσσοντες φυλακάς τῆς νυκτός ἐπί τήν ποίμνην αὐτῶν,Luke,Luke 2
LUK 2:9,And an angel of [the] Lord stood by them and [the] glory of [the] Lord shone around them and they feared [with] fear great,καί ἄγγελος κύριος ἐφίστημι αὐτός καί δόξα κύριος περιλάμπω αὐτός καί φοβέω φόβος μέγας,καί ἄγγελος Κυρίου ἐπέστη αὐτοῖς καί δόξα Κυρίου περιέλαμψεν αὐτούς καί ἐφοβήθησαν φόβον μέγαν,Luke,Luke 2
LUK 3:1,In year then fifteenth of the reign of Tiberius Caesar being governor Pontius Pilate - of Judea and being tetrarch - of Galilee Herod Philip now the brother of him being tetrarch - of Ituraea and of Trachonitis [the] region and Lysanias - of Abilene being tetrarch,ἐν ἔτος δέ πεντεκαιδέκατος ὁ ἡγεμονία Τιβέριος Καῖσαρ ἡγεμονεύω Πόντιος Πιλᾶτος ὁ Ἰουδαία καί τετρααρχέω ὁ Γαλιλαία Ἡρῴδης Φίλιππος δέ ὁ ἀδελφός αὐτός τετρααρχέω ὁ Ἰτουραῖος καί Τραχωνῖτις χώρα καί Λυσανίας ὁ Ἀβιληνή τετρααρχέω,Ἐν ἔτει δέ πεντεκαιδεκάτῳ τῆς ἡγεμονίας Τιβερίου Καίσαρος ἡγεμονεύοντος Ποντίου Πειλάτου τῆς Ἰουδαίας καί τετρααρχοῦντος τῆς Γαλιλαίας Ἠρῴδου Φιλίππου δέ τοῦ ἀδελφοῦ αὐτοῦ τετρααρχοῦντος τῆς Ἰτουραίας καί Τραχωνίτιδος χώρας καί Λυσανίου τῆς Ἀβιληνῆς τετρααρχοῦντος,Luke,Luke 3
LUK 3:10,And were asking him the crowds saying What then shall we do,καί ἐπερωτάω αὐτός ὁ ὄχλος λέγω τίς οὖν ποιέω,Καί ἐπηρώτων αὐτόν οἱ ὄχλοι λέγοντες Τί οὖν ποιήσωμεν,Luke,Luke 3
LUK 3:11,Answering now he was saying to them The [one] having two tunics let him impart to the [one] none having and the [one] having food likewise let him do,ἀποκρίνομαι δέ λέγω αὐτός ὁ ἔχω δύο χιτών μεταδίδωμι ὁ μή ἔχω καί ὁ ἔχω βρῶμα ὁμοίως ποιέω,ἀποκριθείς δέ ἔλεγεν αὐτοῖς Ὁ ἔχων δύο χιτῶνας μεταδότω τῷ μή ἔχοντι καί ὁ ἔχων βρώματα ὁμοίως ποιείτω,Luke,Luke 3
LUK 3:12,Came then also tax collectors to be baptized and they said to him Teacher what shall we do,ἔρχομαι δέ καί τελώνης βαπτίζω καί λέγω πρός αὐτός διδάσκαλος τίς ποιέω,ἦλθον δέ καί τελῶναι βαπτισθῆναι καί εἶπαν πρός αὐτόν Διδάσκαλε τί ποιήσωμεν,Luke,Luke 3
LUK 3:13,- And he said to them Nothing more beyond that having been appointed to you collect,ὁ δέ λέγω πρός αὐτός μηδείς πολύς παρά ὁ διατάσσω σύ πράσσω,ὁ δέ εἶπεν πρός αὐτούς Μηδέν πλέον παρά τό διατεταγμένον ὑμῖν πράσσετε,Luke,Luke 3
LUK 3:14,Were asking then him also those being soldiers saying What shall do also we And he said to them No one extort nor accuse falsely and be content with the wages of you,ἐπερωτάω δέ αὐτός καί στρατεύω λέγω τίς ποιέω καί ἐγώ καί λέγω αὐτός μηδείς διασείω μηδέ συκοφαντέω καί ἀρκέω ὁ ὀψώνιον σύ,ἐπηρώτων δέ αὐτόν καί στρατευόμενοι λέγοντες Τί ποιήσωμεν καί ἡμεῖς καί εἶπεν αὐτοῖς Μηδένα διασείσητε μηδέ συκοφαντήσητε καί ἀρκεῖσθε τοῖς ὀψωνίοις ὑμῶν,Luke,Luke 3
LUK 3:15,Are expecting then the people and wondering all in the hearts of them concerning - John whether ever he might be the Christ,προσδοκάω δέ ὁ λαός καί διαλογίζομαι πᾶς ἐν ὁ καρδία αὐτός περί ὁ Ἰωάννης μή ποτέ αὐτός εἰμί ὁ Χριστός,Προσδοκῶντος δέ τοῦ λαοῦ καί διαλογιζομένων πάντων ἐν ταῖς καρδίαις αὐτῶν περί τοῦ Ἰωάνου μή ποτε αὐτός εἴη ὁ Χριστός,Luke,Luke 3
LUK 3:16,Answered saying [to] all - John I indeed with water baptize you comes however the [One] mightier than I of whom not I am worthy to untie the strap of the sandals of Him He you will baptize with [the] Spirit Holy and with fire,ἀποκρίνομαι λέγω πᾶς ὁ Ἰωάννης ἐγώ μέν ὕδωρ βαπτίζω σύ ἔρχομαι δέ ὁ ἰσχυρός ἐγώ ὅς οὐ εἰμί ἱκανός λύω ὁ ἱμάς ὁ ὑπόδημα αὐτός αὐτός σύ βαπτίζω ἐν πνεῦμα ἅγιος καί πῦρ,ἀπεκρίνατο λέγων πᾶσιν ὁ Ἰωάνης Ἐγώ μέν ὕδατι βαπτίζω ὑμᾶς ἔρχεται δέ ὁ ἰσχυρότερος μου οὗ οὐκ εἰμί ἱκανός λῦσαι τόν ἱμάντα τῶν ὑποδημάτων αὐτοῦ αὐτός ὑμᾶς βαπτίσει ἐν Πνεύματι Ἁγίῳ καί πυρί,Luke,Luke 3
LUK 3:17,of whom the winnowing fork [is] in the hand of Him to clear the threshing floor of Him and to gather the wheat into the barn of Him - But the chaff He will burn up with fire unquenchable,ὅς ὁ πτύον ἐν ὁ χείρ αὐτός διακαθαίρω ὁ ἅλων αὐτός καί συνάγω ὁ σῖτος εἰς ὁ ἀποθήκη αὐτός ὁ δέ ἄχυρον κατακαίω πῦρ ἄσβεστος,οὗ τό πτύον ἐν τῇ χειρί αὐτοῦ διακαθᾶραι τήν ἅλωνα αὐτοῦ καί συναγαγεῖν τόν σῖτον εἰς τήν ἀποθήκην αὐτοῦ τό δέ ἄχυρον κατακαύσει πυρί ἀσβέστῳ,Luke,Luke 3
LUK 3:18,Many indeed therefore other things exhorting he was preaching the good news to the people,πολύς μέν οὖν καί ἕτερος παρακαλέω εὐαγγελίζω ὁ λαός,Πολλά μέν οὖν καί ἕτερα παρακαλῶν εὐηγγελίζετο τόν λαόν,Luke,Luke 3
LUK 3:19,- And Herod the tetrarch being reproved by him concerning Herodias the wife of the brother of him and concerning all that had done [the] evils - Herod,ὁ δέ Ἡρῴδης ὁ τετραάρχης ἐλέγχω ὑπό αὐτός περί Ἡρῳδιάς ὁ γυνή ὁ ἀδελφός αὐτός καί περί πᾶς ὅς ποιέω πονηρός ὁ Ἡρῴδης,ὁ δέ Ἠρῴδης ὁ τετραάρχης ἐλεγχόμενος ὑπ’ αὐτοῦ περί Ἠρῳδιάδος τῆς γυναικός τοῦ ἀδελφοῦ αὐτοῦ καί περί πάντων ὧν ἐποίησεν πονηρῶν ὁ Ἠρῴδης,Luke,Luke 3
LUK 3:2,during [the] high priesthood of Annas and Caiaphas came [the] word of God upon John - of Zechariah son in the wilderness,ἐπί ἀρχιερεύς Ἅννας καί Καϊάφας γίνομαι ῥῆμα θεός ἐπί Ἰωάννης ὁ Ζαχαρίας υἱός ἐν ὁ ἔρημος,ἐπί ἀρχιερέως Ἄννα καί Καϊάφα ἐγένετο ῥῆμα Θεοῦ ἐπί Ἰωάνην τόν Ζαχαρίου υἱόν ἐν τῇ ἐρήμῳ,Luke,Luke 3
LUK 3:20,added yet this to all he locked up - John in prison,προστίθημι καί οὗτος ἐπί πᾶς κατακλείω ὁ Ἰωάννης ἐν φυλακή,προσέθηκεν καί τοῦτο ἐπί πᾶσιν κατέκλεισεν τόν Ἰωάνην ἐν φυλακῇ,Luke,Luke 3
LUK 3:21,It came to pass now in - having been baptized all the people and Jesus having been baptized and having prayed was opened the heaven,γίνομαι δέ ἐν ὁ βαπτίζω ἅπας ὁ λαός καί Ἰησοῦς βαπτίζω καί προσεύχομαι ἀνοίγω ὁ οὐρανός,Ἐγένετο δέ ἐν τῷ βαπτισθῆναι ἅπαντα τόν λαόν καί Ἰησοῦ βαπτισθέντος καί προσευχομένου ἀνεῳχθῆναι τόν οὐρανόν,Luke,Luke 3
LUK 3:22,and descended the Spirit - Holy in a bodily form as a dove upon Him and a voice out of heaven came You are the Son of Me the beloved in You I am well pleased,καί καταβαίνω ὁ πνεῦμα ὁ ἅγιος σωματικός εἶδος ὡς περιστερά ἐπί αὐτός καί φωνή ἐκ οὐρανός γίνομαι σύ εἰμί ὁ υἱός ἐγώ ὁ ἀγαπητός ἐν σύ εὐδοκέω,καί καταβῆναι τό Πνεῦμα τό Ἅγιον σωματικῷ εἴδει ὡς περιστεράν ἐπ’ αὐτόν καί φωνήν ἐξ οὐρανοῦ γενέσθαι Σύ εἶ ὁ Υἱός μου ὁ ἀγαπητός ἐν σοί εὐδόκησα,Luke,Luke 3
LUK 3:23,And Himself was Jesus beginning about years [old] thirty being son as was supposed of Joseph - of Heli,καί αὐτός εἰμί Ἰησοῦς ἄρχω ὡσεί ἔτος τριάκοντα εἰμί υἱός ὡς νομίζω Ἰωσήφ ὁ Ἠλί,Καί αὐτός ἦν Ἰησοῦς ἀρχόμενος ὡσεί ἐτῶν τριάκοντα ὤν υἱός ὡς ἐνομίζετο Ἰωσήφ τοῦ Ἠλεί,Luke,Luke 3
LUK 3:24,- of Matthat - of Levi - of Melchi - of Jannai - of Joseph,ὁ Μαθθάτ ὁ Λευί ὁ Μελχί ὁ Ἰανναί ὁ Ἰωσήφ,τοῦ Ματθάτ τοῦ Λευεί τοῦ Μελχεί τοῦ Ἰανναί τοῦ Ἰωσήφ,Luke,Luke 3
LUK 3:25,- of Mattathias - of Amos - of Nahum - of Esli - of Naggai,ὁ Ματταθίας ὁ Ἀμώς ὁ Ναούμ ὁ Ἑσλί ὁ Ναγγαί,τοῦ Ματταθίου τοῦ Ἀμώς τοῦ Ναούμ τοῦ Ἐσλεί τοῦ Ναγγαί,Luke,Luke 3
LUK 3:26,- of Maath - of Mattathias - of Semein - of Josech - of Joda,ὁ Μάαθ ὁ Ματταθίας ὁ Σεμεΐν ὁ Ἰωσήχ ὁ Ἰωδά,τοῦ Μαάθ τοῦ Ματταθίου τοῦ Σεμεείν τοῦ Ἰωσήχ τοῦ Ἰωδά,Luke,Luke 3
LUK 3:27,- of Joannen - of Rhesa - of Zerubbabel - of Shealtiel - of Neri,ὁ Ἰωανάν ὁ Ῥησά ὁ Ζοροβαβέλ ὁ Σαλαθιήλ ὁ Νηρί,τοῦ Ἰωανάν τοῦ Ῥησά τοῦ Ζοροβάβελ τοῦ Σαλαθιήλ τοῦ Νηρεί,Luke,Luke 3
LUK 3:28,- of Melchi - of Addi - of Cosam - of Elmadam - of Er,ὁ Μελχί ὁ Ἀδδί ὁ Κωσάμ ὁ Ἐλμαδάμ ὁ Ἤρ,τοῦ Μελχεί τοῦ Ἀδδεί τοῦ Κωσάμ τοῦ Ἐλμαδάμ τοῦ Ἤρ,Luke,Luke 3
LUK 3:29,- of Joshua - of Eliezer - of Jorim - of Matthat - of Levi,ὁ Ἰησοῦς ὁ Ἐλιέζερ ὁ Ἰωρίμ ὁ Μαθθάτ ὁ Λευί,τοῦ Ἰησοῦ τοῦ Ἐλιέζερ τοῦ Ἰωρείμ τοῦ Μαθθάτ τοῦ Λευεί,Luke,Luke 3
LUK 3:3,And he went into all the surrounding region of the Jordan proclaiming a baptism of repentance for forgiveness of sins,καί ἔρχομαι εἰς πᾶς ὁ περίχωρος ὁ Ἰορδάνης κηρύσσω βάπτισμα μετάνοια εἰς ἄφεσις ἁμαρτία,καί ἦλθεν εἰς πᾶσαν τήν περίχωρον τοῦ Ἰορδάνου κηρύσσων βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν,Luke,Luke 3
LUK 3:30,- of Simeon - of Judah - of Joseph - of Jonam - of Eliakim,ὁ Συμεών ὁ Ἰούδας ὁ Ἰωσήφ ὁ Ἰωνάμ ὁ Ἐλιακίμ,τοῦ Συμεών τοῦ Ἰούδα τοῦ Ἰωσήφ τοῦ Ἰωνάμ τοῦ Ἐλιακείμ,Luke,Luke 3
LUK 3:31,- of Melea - of Menna - of Mattatha - of Nathan - of David,ὁ Μελεά ὁ Μεννά ὁ Ματταθά ὁ Ναθάμ ὁ Δαυίδ,τοῦ Μελεά τοῦ Μεννά τοῦ Ματταθά τοῦ Ναθάμ τοῦ Δαυείδ,Luke,Luke 3
LUK 3:32,- of Jesse - of Obed - of Boaz - of Sala - of Nahshon,ὁ Ἰεσσαί ὁ Ἰωβήδ ὁ Βόες ὁ Σαλά ὁ Ναασσών,τοῦ Ἰεσσαί τοῦ Ἰωβήδ τοῦ Βοός τοῦ Σαλά τοῦ Ναασσών,Luke,Luke 3
LUK 3:33,- of Amminadab - of Admin - of Arni - of Hezron - of Perez - of Judah,ὁ Ἀμιναδάβ ὁ ἀδμίν ὁ Ἀρνί ὁ Ἑσρώμ ὁ Φάρες ὁ Ἰούδας,τοῦ Ἀμιναδάβ τοῦ Ἀδμείν τοῦ Ἀρνεί τοῦ Ἐσρώμ τοῦ Φαρές τοῦ Ἰούδα,Luke,Luke 3
LUK 3:34,- of Jacob - of Isaac - of Abraham - of Terah - of Nahor,ὁ Ἰακώβ ὁ Ἰσαάκ ὁ Ἀβραάμ ὁ Θάρα ὁ Ναχώρ,τοῦ Ἰακώβ τοῦ Ἰσαάκ τοῦ Ἀβραάμ τοῦ Θάρα τοῦ Ναχώρ,Luke,Luke 3
LUK 3:35,- of Serug - of Reu - of Peleg - of Heber - of Shelah,ὁ Σερούχ ὁ Ῥαγαύ ὁ Φάλεκ ὁ Ἔβερ ὁ Σαλά,τοῦ Σερούχ τοῦ Ῥαγαῦ τοῦ Φάλεκ τοῦ Ἔβερ τοῦ Σαλά,Luke,Luke 3
LUK 3:36,- of Cainan - of Arphaxad - of Shem - of Noah - of Lamech,ὁ Καϊνάμ ὁ Ἀρφαξάδ ὁ Σήμ ὁ Νῶε ὁ Λάμεχ,τοῦ Καϊνάμ τοῦ Ἀρφαξάδ τοῦ Σήμ τοῦ Νῶε τοῦ Λάμεχ,Luke,Luke 3
LUK 3:37,- of Methuselah - of Enoch - of Jared - of Mahalalel - of Cainan,ὁ Μαθουσαλά ὁ Ἑνώχ ὁ Ἰάρετ ὁ Μαλελεήλ ὁ Καϊνάμ,τοῦ Μαθουσαλά τοῦ Ἐνώχ τοῦ Ἰάρετ τοῦ Μαλελεήλ τοῦ Καϊνάμ,Luke,Luke 3
LUK 3:38,- of Enosh - of Seth - of Adam - of God,ὁ Ἐνώς ὁ Σήθ ὁ Ἀδάμ ὁ θεός,τοῦ Ἐνώς τοῦ Σήθ τοῦ Ἀδάμ τοῦ Θεοῦ,Luke,Luke 3
LUK 3:4,as it has been written in [the] book of [the] words of Isaiah the prophet [The] voice of one crying in the wilderness Prepare the way of [the] Lord straight make the paths of Him,ὡς γράφω ἐν βίβλος λόγος Ἠσαΐας ὁ προφήτης φωνή βοάω ἐν ὁ ἔρημος ἑτοιμάζω ὁ ὁδός κύριος εὐθύς ποιέω ὁ τρίβος αὐτός,ὡς γέγραπται ἐν βίβλῳ λόγων Ἠσαΐου τοῦ προφήτου Φωνή βοῶντος ἐν τῇ ἐρήμῳ Ἑτοιμάσατε τήν ὁδόν Κυρίου εὐθείας ποιεῖτε τάς τρίβους αὐτοῦ,Luke,Luke 3
LUK 3:5,Every valley will be filled and every mountain and hill will be made low and will become the crooked into straight and the rough into ways smooth,πᾶς φάραγξ πληρόω καί πᾶς ὄρος καί βουνός ταπεινόω καί εἰμί ὁ σκολιός εἰς εὐθύς καί ὁ τραχύς εἰς ὁδός λεῖος,πᾶσα φάραγξ πληρωθήσεται καί πᾶν ὄρος καί βουνός ταπεινωθήσεται καί ἔσται τά σκολιά εἰς εὐθείας καί αἱ τραχεῖαι εἰς ὁδούς λείας,Luke,Luke 3
LUK 3:6,and will see all flesh the salvation - of God,καί ὁράω πᾶς σάρξ ὁ σωτήριος ὁ θεός,καί ὄψεται πᾶσα σάρξ τό σωτήριον τοῦ Θεοῦ,Luke,Luke 3
LUK 3:7,He was saying therefore to the coming out crowds to be baptized by him Offspring of vipers who forewarned you to flee from the coming wrath,λέγω οὖν ὁ ἐκπορεύομαι ὄχλος βαπτίζω ὑπό αὐτός γέννημα ἔχιδνα τίς ὑποδείκνυμι σύ φεύγω ἀπό ὁ μέλλω ὀργή,Ἔλεγεν οὖν τοῖς ἐκπορευομένοις ὄχλοις βαπτισθῆναι ὑπ’ αὐτοῦ Γεννήματα ἐχιδνῶν τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπό τῆς μελλούσης ὀργῆς,Luke,Luke 3
LUK 3:8,Produce therefore fruits worthy - of repentance and not begin to say in yourselves [As] father We have - Abraham I say for to you that is able - God from - stones these to raise up children - to Abraham,ποιέω οὖν καρπός ἄξιος ὁ μετάνοια καί μή ἄρχω λέγω ἐν ἑαυτοῦ πατήρ ἔχω ὁ Ἀβραάμ λέγω γάρ σύ ὅτι δύναμαι ὁ θεός ἐκ ὁ λίθος οὗτος ἐγείρω τέκνον ὁ Ἀβραάμ,ποιήσατε οὖν καρπούς ἀξίους τῆς μετανοίας καί μή ἄρξησθε λέγειν ἐν ἑαυτοῖς Πατέρα ἔχομεν τόν Ἀβραάμ λέγω γάρ ὑμῖν ὅτι δύναται ὁ Θεός ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ,Luke,Luke 3
LUK 3:9,Already now also the ax to the root of the trees is applied every therefore tree not producing fruit good is cut down and into [the] fire is thrown,ἤδη δέ καί ὁ ἀξίνη πρός ὁ ῥίζα ὁ δένδρον κεῖμαι πᾶς οὖν δένδρον μή ποιέω καρπός καλός ἐκκόπτω καί εἰς πῦρ βάλλω,ἤδη δέ καί ἡ ἀξίνη πρός τήν ῥίζαν τῶν δένδρων κεῖται πᾶν οὖν δένδρον μή ποιοῦν καρπόν καλόν ἐκκόπτεται καί εἰς πῦρ βάλλεται,Luke,Luke 3
LUK 4:1,Jesus then full of [the] Spirit Holy returned from the Jordan and was led by the Spirit into the wilderness,Ἰησοῦς δέ πλήρης πνεῦμα ἅγιος ὑποστρέφω ἀπό ὁ Ἰορδάνης καί ἄγω ἐν ὁ πνεῦμα ἐν ὁ ἔρημος,Ἰησοῦς δέ πλήρης Πνεύματος Ἁγίου ὑπέστρεψεν ἀπό τοῦ Ἰορδάνου καί ἤγετο ἐν τῷ Πνεύματι ἐν τῇ ἐρήμῳ,Luke,Luke 4
LUK 4:10,It has been written for - To the angels of Him He will give orders concerning You - to guard You,γράφω γάρ ὅτι ὁ ἄγγελος αὐτός ἐντέλλομαι περί σύ ὁ διαφυλάσσω σύ,γέγραπται γάρ ὅτι τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περί σοῦ τοῦ διαφυλάξαι σε,Luke,Luke 4
LUK 4:11,and - in [their] hands will they bear You lest ever You strike against a stone the foot of You,καί ὅτι ἐπί χείρ αἴρω σύ μή ποτέ προσκόπτω πρός λίθος ὁ πούς σύ,καί ὅτι ἐπί χειρῶν ἀροῦσιν σε μή ποτε προσκόψῃς πρός λίθον τόν πόδα σου,Luke,Luke 4
LUK 4:12,And answering said to him - Jesus - It has been said Not you shall test [the] Lord the God of you,καί ἀποκρίνομαι λέγω αὐτός ὁ Ἰησοῦς ὅτι εἶπον οὐ ἐκπειράζω κύριος ὁ θεός σύ,καί ἀποκριθείς εἶπεν αὐτῷ ὁ Ἰησοῦς ὅτι Εἴρηται Οὐκ ἐκπειράσεις Κύριον τόν Θεόν σου,Luke,Luke 4
LUK 4:13,And having finished every temptation the devil departed from Him until an opportune time,καί συντελέω πᾶς πειρασμός ὁ διάβολος ἀφίστημι ἀπό αὐτός ἄχρι καιρός,Καί συντελέσας πάντα πειρασμόν ὁ διάβολος ἀπέστη ἀπ’ αὐτοῦ ἄχρι καιροῦ,Luke,Luke 4
LUK 4:14,And returned - Jesus in the power of the Spirit to - Galilee and a report went out into all the surrounding region concerning Him,καί ὑποστρέφω ὁ Ἰησοῦς ἐν ὁ δύναμις ὁ πνεῦμα εἰς ὁ Γαλιλαία καί φήμη ἐξέρχομαι κατά ὅλος ὁ περίχωρος περί αὐτός,Καί ὑπέστρεψεν ὁ Ἰησοῦς ἐν τῇ δυνάμει τοῦ Πνεύματος εἰς τήν Γαλιλαίαν καί φήμη ἐξῆλθεν καθ’ ὅλης τῆς περιχώρου περί αὐτοῦ,Luke,Luke 4
LUK 4:15,And He was teaching in the synagogues of them being glorified by all,καί αὐτός διδάσκω ἐν ὁ συναγωγή αὐτός δοξάζω ὑπό πᾶς,καί αὐτός ἐδίδασκεν ἐν ταῖς συναγωγαῖς αὐτῶν δοξαζόμενος ὑπό πάντων,Luke,Luke 4
LUK 4:16,And He came to Nazareth where He had been brought up and He entered according to the custom to Him on the day of the Sabbaths into the synagogue and stood up to read,καί ἔρχομαι εἰς Ναζαρά οὗ εἰμί τρέφω καί εἰσέρχομαι κατά ὁ εἴωθα αὐτός ἐν ὁ ἡμέρα ὁ σάββατον εἰς ὁ συναγωγή καί ἀνίστημι ἀναγινώσκω,Καί ἦλθεν εἰς Ναζαρά οὗ ἦν τεθραμμένος καί εἰσῆλθεν κατά τό εἰωθός αὐτῷ ἐν τῇ ἡμέρᾳ τῶν σαββάτων εἰς τήν συναγωγήν καί ἀνέστη ἀναγνῶναι,Luke,Luke 4
LUK 4:17,And there was given to Him [the] scroll of the prophet Isaiah and having unrolled the scroll He found the place where it was written,καί ἐπιδίδωμι αὐτός βιβλίον ὁ προφήτης Ἠσαΐας καί ἀνοίγω ὁ βιβλίον εὑρίσκω ὁ τόπος οὗ εἰμί γράφω,καί ἐπεδόθη αὐτῷ βιβλίον τοῦ προφήτου Ἠσαΐου καί ἀνοίξας τό βιβλίον εὗρεν τόν τόπον οὗ ἦν γεγραμμένον,Luke,Luke 4
LUK 4:18,[The] Spirit of [the] Lord [is] upon Me of which because He has anointed Me to preach good news to [the] poor He has sent Me to proclaim to [the] captives deliverance and to [the] blind recovery of sight to send forth [the] oppressed in deliverance,πνεῦμα κύριος ἐπί ἐγώ ὅς ἕνεκα χρίω ἐγώ εὐαγγελίζω πτωχός ἀποστέλλω ἐγώ κηρύσσω αἰχμάλωτος ἄφεσις καί τυφλός ἀνάβλεψις ἀποστέλλω θραύω ἐν ἄφεσις,Πνεῦμα Κυρίου ἐπ’ ἐμέ οὗ εἵνεκεν ἔχρισεν με εὐαγγελίσασθαι πτωχοῖς ἀπέσταλκεν με κηρῦξαι αἰχμαλώτοις ἄφεσιν καί τυφλοῖς ἀνάβλεψιν ἀποστεῖλαι τεθραυσμένους ἐν ἀφέσει,Luke,Luke 4
LUK 4:19,to proclaim [the] year of [the] Lord’s favor,κηρύσσω ἐνιαυτός κύριος δεκτός,κηρῦξαι ἐνιαυτόν Κυρίου δεκτόν,Luke,Luke 4
